OrganizationName,Description,Category,Technologies,Topics,CompletedProjects,OrganizationWebsite,OrganizationURL,Logo
Cadasta,"Transforming the way land & resource rights are documented, managed and stored.",End User Applications,"python , django , javasc , javascipt","web , land rights , mapping , geo , geospatial",1,http://cadasta.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6571413242642432/,lh3.googleusercontent.com/YGfrXJkJlSLrcsPG3bgmjIiRXthOVmkiGr5r4X2P6ehPEX3zKktgYwuScAcAtZJzjBOURAIEL3xSoVho00Oc7jmWDRbYaGE
Catrobat,Computational thinking for all through visual mobile programming frameworks,Programming Languages and Development Tools,"android , java , html5 , ios , web","education , programming tools , app development , web applications , scratch",5,http://www.catrobat.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5758529210155008/,lh3.googleusercontent.com/_Ns53i4FjkBbKY3jUsDz29u6lueWAJssHrb8DrNFcbbEpTUeCrqj3h8JF6dGe2pVFXDlu2PO4WApeCWpbJ2OZrz2JLcLQeND
cBioPortal for Cancer Genomics,Developing open source solutions for precision medicine for cancer patients,Science and Medicine," javascript , java , web , reactjs , web services","cancer , bioinformatics , big data , genomics , biology",6,http://cbioportal.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4741825894023168/,lh3.googleusercontent.com/zEQgMQ-U-EjNhoJrvz7jRhSPOup_8k6smQJX_WPC-LunTEb3G26uHXucVPKwP5sHBtbRDszkR1Dj2o08WeqFg7j5o01eiGo
CCExtractor Development,Tools for a subtitled world.,Graphics / Video / Audio / Virtual Reality,"c , python , raspberry pi , linux , visual studio","subtitles , television , movies , media",6,https://www.ccextractor.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5267426006532096/,lh3.googleusercontent.com/9a1rDKdItnPDhhL9qP3ai_4-7uT0AxX529v8ViXnmyC1zjcNy5TEOKKFM4Xw0awNildpDZslMz0QYJOwO6p6RySdJW885RE
Ceph,The Future of Storage,Data and Databases,"c++ , python , object-storage","cloud storage , storage",4,http://ceph.com,https://summerofcode.withgoogle.com/archive/2017/organizations/6399849700261888/,lh3.googleusercontent.com/8jd1o9Z0o-LZXWn06xWMPVq4MiqHreWqVH8AxrjzVHELbfqNUMAMzLjYwBGFwD51w0kSpzuqjETAwgSRpuXlRkIHB9nj0Q
CERN-HSF,"CERN-HEPSoftwareFoundation, umbrella organization for particle physics in GSoC",Science and Medicine,"python , c/c++ , machine learning , data analysis , parallel algorithms","particle physics , high-energy physics , machine learning , physics , big data",20,http://hepsoftwarefoundation.org/activities/gsoc.html,https://summerofcode.withgoogle.com/archive/2017/organizations/6360460286754816/,lh3.googleusercontent.com/OvM7CH9cftL1LcYx10driIlKL3TqFjaER1fNaqNRrz6_jcufXELaLSQ0cSslrRrNSdns-OttYBVzDFTqAz1G1Dwq346gsF0
Chapel,a Productive Parallel Programming Language,Programming Languages and Development Tools,"chapel , python , high performance computing , c , c++","programming languages , compilers , high performance computing , distributed computing , parallel computing",3,http://chapel-lang.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4757669491507200/,lh3.googleusercontent.com/s4JuBTa-ubZeh2Ia905LRd6y0vUdndUgfHF3GEHwUAs-4D_F-Vvr2iPkZWd6Ml8gTtUMasmHOQ4myPU99LOIOFIz6TxHbSw
Checker Framework,"Preventing programming errors before they happen, via easy-to-use verification",Programming Languages and Development Tools,java,"programmer productivity , software engineering , verification",5,https://checkerframework.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6349316859887616/,lh3.googleusercontent.com/uI0AVGltNj1XK8tQB3V-KgNJTv7wENHl6V9SeF8Tq1yJLQ6BufiJYnjRsXxLbqRCSPddr3DSOxwRIOKnyDjVaeuoO_7eZJFF
Checkstyle,Dev tool to help programmers write Java code that adheres to a coding standard.,Programming Languages and Development Tools," java , antlr","static code analysis<U+200E> , code review tool , coding standards ,  coding conventions",5,http://checkstyle.sourceforge.net/,https://summerofcode.withgoogle.com/archive/2017/organizations/5883569398349824/,lh3.googleusercontent.com/yuUCb_AsFvfYar6nIeFN7wlFpRfkHDxjFFMF-a6PyCk4OX7RoC-bLDYbNMs23t0vCQwQDON0sIXzCbUb1jQws65kji-ncg8r
Classical Language Toolkit,NLP for the ancient world,Other," python , javascript","nlp , ai , machine , machine learning , machine trans",2,http://cltk.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4904328934457344/,lh3.googleusercontent.com/8CQlotbC9ovCGTmz3pPzaEcNCm4IYP7R4LZ7BozeWwRUe79PxILYzh944E_hz_FXmaPI5AtmL-LPglAMDhTyXYwmXyXvRRk3
"CLiPS, University of Antwerp",Computational (Psycho)Linguistics,Data and Databases,"python , machine learning , mongodb , javascript ","text analytics , machine learning , computational linguistics , artificial intelligence , data mining",2,http://www.clips.uantwerpen.be,https://summerofcode.withgoogle.com/archive/2017/organizations/4936781707345920/,lh3.googleusercontent.com/2MTQQOsAPz8vSi4FpIlQGW4rReBA8Hxz0sHRAc7BN78vxCOmx0Ytv14nqwEkva9dW72Jm_WerRJUDwwAy3TUpNiSb6_9CAb4
Clojure,Supporting the Clojure and ClojureScript ecosystem,Programming Languages and Development Tools,"clojure , clojurescript , jvm , javascript , functional programming","programming language , development tools , compilers , functional programming , build systems",0,http://clojure.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5054104644616192/,lh3.googleusercontent.com/KEb8AaLe8CWqA2rMpvjsmXjY13TxgLjKJj8WG4xYaJyQkYDKozx4-WwRBUKgRMdoOKk8RwCH9pWtfOXVhUBjtAJo16slIw
Cloud Native Computing Foundation (CNCF),The CNCF is a nonprofit committed to the development of cloud native technology,Cloud,"kubernetes , go , prometheus , fluentd , grpc","cloud , cloud native , monitoring , logging , tracing",6,https://www.cncf.io/,https://summerofcode.withgoogle.com/archive/2017/organizations/6018829461225472/,lh3.googleusercontent.com/jr_aWehm6e98roHg-RbGrOm2twnRg_xjngLDe20TpKtZNHgiF6Rmpcjqr90NqtDUYAwKjlayCJPjRZXKON1A9oxKUxS01E8
CloudCV,Building platforms for reproducible AI research,Cloud," python , django , angularjs , reactjs ,  deep learning","artificial intelligence , machine learning , computer vision , web development , cloud computing",4,http://cloudcv.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6419112360148992/,lh3.googleusercontent.com/2y3Acs61-64R6YvHXBmtyZs-rTMhW0crKdolcSkykZlWbddK_jzvKRZrolm2bG_xIu_W6RB6YbFk0D-WaKyDHQ6k5i90V_Q
CMU Sphinx,"Fast, Accurate, Flexible Open Source Speech Recognition",Graphics / Video / Audio / Virtual Reality,"c , cross-platform , hidden markov models , javascript  ,  python","speech recognition , user interface , real time , education , pronunciation",11,http://cmusphinx.sourceforge.net/,https://summerofcode.withgoogle.com/archive/2017/organizations/5510422639673344/,lh3.googleusercontent.com/_vu_qb7x-5e-HEFLBfIEDvYIVrZoePvwECpa2n5RAJqTUIeOt_vrF8-i9wdz6z-owZ7ikHDuv2ab_BhAjWFUAuS3ogWhNQ
coala,Linting and Fixing Code for All Languages,Programming Languages and Development Tools,python,code analysis,9,https://coala.io,https://summerofcode.withgoogle.com/archive/2017/organizations/5817061024464896/,lh3.googleusercontent.com/7r3cwED-WmWH-vVOzeGYA9MF93nUncWsKrzGRwFbVqhVs9Omb-Pnns1q1UTvttLZwpZwJ7yTE87EEJ8V56B4Wkz0-cw_BGJj
Computational Biology @ University of Nebraska-Lincoln,Development of software technologies for biomedical research and applications.,Science and Medicine,"javascript , react , java , webgl , mysql","computational biology , bioinformatics , network biology , systems biology , image analysis",4,http://helikarlab.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6732113738989568/,lh3.googleusercontent.com/NdWX8dJSy0LCXTeJypbBMAeL7CCtU-KR7lEAE_k4FDclYlNgHnIgw6XUq9EUKFg_reUQRjvB2kV03e9E5nb_KmVt77qZHEE
Conversations.im,"Federated, end-to-end encrypted instant messaging based on XMPP/OMEMO",End User Applications,"xmpp , java , android , javafx , python","instant messaging , real time , usabilty , ui , ux",1,https://conversations.im,https://summerofcode.withgoogle.com/archive/2017/organizations/5967780016816128/,lh3.googleusercontent.com/ojUDeY9hN3ZkVkUOD2vNEBx4F5Y2DHjhB6w_AbapryLe2MOyO3LWUN0yruFuad-TN9pmQ1rxDe8Bqwjcc6FUPULkcCwnKw
Copyleft Games,"Game libraries, frameworks, and development toolkits",Graphics / Video / Audio / Virtual Reality,"python , opengl , javascript , c , xmpp","graphics , networking , web , education",2,https://www.copyleftgames.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6180004551458816/,lh3.googleusercontent.com/uFYWvVcwmuONpfYFZKxGmQzJiernnb7qI1Eynt9CuNDiB0NJu4-lSUgN3JcKHc9B7_vpgJ2Wwa0CLUTe_ZAtty5I6pCGBURc
DBpedia,"a Large, Multilingual, Semantic Knowledge Graph",Data and Databases," java , scala , graph , nosql , rdf","natural language processing , big data , semantic web , data science , knowledge extraction",7,http://dbpedia.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5195579256733696/,lh3.googleusercontent.com/assw2Re_IYxchzayDG-T8lXm4TNLcTOSB94t0lpK54GOe9jSpzXflv19LTN4CCIt8CbvM5vUGP_ne_9oCNOgU1Aq7XP_tA
Discourse,Civilized discussion for your community.,Social / Communications,"ruby on rails , ember ,  ruby , javascipt , html/css","asynchronous , forum , community ,  real time , web development",4,http://www.discourse.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4878856288731136/,lh3.googleusercontent.com/3sa2Hf4LtzL2kBlSkpAP29xgjyPANLS5uegKuI_fk_5KezIY94kPqWKsth2oI6UPgooSGV9Q6Nv_GSa8SHTXIivE-_LjQP8
Django Software Foundation,The web framework for perfectionists with deadlines.,Web,"python , django","web , web development",0,https://www.djangoproject.com,https://summerofcode.withgoogle.com/archive/2017/organizations/4608650232463360/,lh3.googleusercontent.com/gBM87Hc5cMcgbJSyfvXEXIsggzdZBgtcq5YDwM78D6bd-L_rFJuPoaEqtr8teCGjtvQZohTPof8X5ZRz9hMI61-VA8vFqCU
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing",Web,"php ,  symfony ,  sql ,  javascript ,  drupal 8","web ,  web development ,  content management ,  object-oriented ,  cms",6,https://www.drupal.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6388224565968896/,lh3.googleusercontent.com/KC19orrV1kqG1ayTFu1FxpkaIrdVWYRzGqHRVqMYeUOnWjI4GDUoPW_v_ETk4QeOY30xyvaavLDw0mzYYA1fM87TotOooUNL
Eclipse Vert.x,Eclipse Vert.x is a tool-kit for building reactive applications on the JVM,Programming Languages and Development Tools,"java , reactive extensions , kotlin , microservices , event-loop","reactive , unopionated , polyglot , distributed , high performance computing",3,http://vertx.io,https://summerofcode.withgoogle.com/archive/2017/organizations/5851994006749184/,lh3.googleusercontent.com/VkiPGfm8MX6JvIJbm675GIpat5g2Tv265xwmE9Owc274xFQdx60SiwOUCLswo7AXz-WREWuU8aMo6imBr83xWyCg3VsAHk0
Elm Software Foundation,A delightful functional language for reliable webapps.,Programming Languages and Development Tools,"elm , javascript , haskell","functional programming , compilers , web applications , programming languages , user interface",1,http://elm-lang.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5658990390280192/,lh3.googleusercontent.com/fqsi9UFcYWf2gRtHisTVUL77H0wqC5R8EU7XRoI-yLzd6LESSqOWHS8THAVlDVG1J1lKlhE91MSHSksUrNpNs9b3C2QD8QE2
Environmental Data And Governance Initiative,International network addressing threats to US environmental & energy policy,Data and Databases,"python , javascript , ruby on rails , google cloud , go","crawling , api , open data , machine learning , open science",2,https://envirodatagov.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4941941976334336/,lh3.googleusercontent.com/6M5VZ3XHpr1IpCBDAb1NnmreVjiAW4PPYSh8kJUEspShRoZ4oTx2kPdWG0cJjfXeCwDbtfuYsSArr31ynvZMyAkIhMhrLx9C
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First",Operating Systems,"python , linux , git , postgres , ansible","linux distribution , upstream , community , web development , realtime messaging",5,https://getfedora.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5870752142196736/,lh3.googleusercontent.com/o6agz4S4Q0qbWTJekRn60HIIci50A70Xw4Qzt-OJgiUwRFgXCBti83OZtFyqKNEVo87Moku3BEsOj1f4eq50m3Zd-BDGBA
FFmpeg,"Cross-platform software to convert audio, video and subtitles.",Graphics / Video / Audio / Virtual Reality,"c , assembly , git","multimedia , video , audio , filter , compressio",6,https://ffmpeg.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4641979178680320/,lh3.googleusercontent.com/BOL9R6X621pzLGNGoD3i9DWT1WNbpbZB-4Jagpaf7Np8m77cA0A-JitDNtD1TK5TkFTQb_KsSHDZFHL1a8iZZGILJS4unw
FOSDEM,The organization that handles all aspects of the FOSDEM conference,Programming Languages and Development Tools,"git , ruby on rails , postgresql , html/css","web , programming tools , programming languages , ruby , rails",1,https://fosdem.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5733807646834688/,lh3.googleusercontent.com/tzQ02uEl73CVHq_D5Wnt7EzD-Esb-B-PRpxyU8irWBAb0OwDSZMNQXsXTorM1vsjyNlR7pG-JiTnBRBI-7vD-Z1QmUTs7Q
FOSSASIA,Improve People's Lives,Other,"python , java , javascript , android , php","event management , machine learning , artificial intelligence , cloud",51,http://fossasia.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5936828200779776/,lh3.googleusercontent.com/mEgX9LwkfS3_bHuqb54g9onkXAEq6PhQdTRTnv1Ts--M6NrXNrwpM1kmJOUuFdH79BFu9UG8IIqE0cvw1k_U8CMnIXCFqTQ
Free and Open Source Silicon Foundation,Umbrella for various projects around open source hardware and tools,Other,"verilog , c , vhdl , python","hardware , eda tools , web",4,http://fossi-foundation.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5021512822161408/,lh3.googleusercontent.com/xR8AezbubAAiM5GsN0dbB-hrJfmsavDN20GhILipASprUBKl62Hwk-tijvzvwx2hEI_RiP0mKyd034GMRcji8LRwtrv7J88K
FreeBSD,FreeBSD: The Foundation of the Internet,Operating Systems,"c/c++ , llvm , shell , make , assembly","virtualization , kernel , cloud , embedded , security",5,https://www.FreeBSD.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5058101916991488/,lh3.googleusercontent.com/6z4bZLHpx0Yls0ri4wOp9fGTYahOJZp8hO4JNRornQq1QAgv8UKd-WXTpBzTU3M71cWWFwaYzNj2PBe0ei4i34km_kIbliE
Freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,Social / Communications,"lede/openwrt , c , html/css , shell script ,  javascript","wireless , routing , monitoring , firmware development , user interface",12,https://freifunk.net,https://summerofcode.withgoogle.com/archive/2017/organizations/6004756195573760/,lh3.googleusercontent.com/NyrSHsoROjfiSrEbrjgCqZAnEu6Ynhwlv93o9OHgq834LMTKAcAmtpl4_7tElUeT9mg50biHGqhLQYZzcawW30ACpvke
Frescobaldi,Edit music scores with GNU LilyPond.,End User Applications,"python , pyqt",music engraving,2,http://frescobaldi.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4597892144693248/,lh3.googleusercontent.com/IRUCAU_NRRzhF33TmMt5o1k7eDlbSlcyfF59CwLJABUgeFMCXGAbRmVtozRAHmQu4xtz9T2H8Y0J2m1dJZlSpj7gHlWfU_sp
"Genes, Genomes and Variation",Genome databases and browsers,Science and Medicine,"mysql , perl , javascript","genomics , web",5,http://www.ensembl.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5455879507804160/,lh3.googleusercontent.com/mlNXe0QjBHcVNUACjBXyxFGOoj6x57r7X1JS3uGtsos3NIeiKeex0EeS70zAa2RE0IwugJY5vdiXjsIC7uyujxbBN4k39Isd
GENIVI Development Platform,Open Source Automotive Development Platform,Programming Languages and Development Tools,"linux , c , yocto , c++ , qt","automotive , cars , embedded systems , embedded , automobile",0,https://at.projects.genivi.org/wiki/pages/viewpage.action?pageId=11567210,https://summerofcode.withgoogle.com/archive/2017/organizations/4914104280023040/,lh3.googleusercontent.com/geEoKLEJD6_aqoS84QB8nKGjAHMjFFv5UNWpljgn0KCPLgo38QhZOt0aJmFo9fYgUfkXINGh8HZXHKtdwst0uMKY-Atb3A
Gentoo Foundation,"A flexible, source-based Linux distribution.",Operating Systems,"shell , c/c++ , python , linux","linux , package management , operating system , embedded , security",3,http://www.gentoo.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6287928489672704/,lh3.googleusercontent.com/JD4B1K3-iD_gIUZiPYPPJqVsA5_jFbpiFJU5SgbguRbaKeuhzbEi4BI8X8ZT6TUl4bRIzgfLZSy-zKrb0H7weh82NWb9zFE
Git,"fast, scalable, distributed revision control system",Programming Languages and Development Tools,"c ,  shell script ,  git","version control ,  dvcs",1,http://git-scm.com/,https://summerofcode.withgoogle.com/archive/2017/organizations/5061577619275776/,lh3.googleusercontent.com/G-TbRzzc-XH00xAc5BUOH4SkBG965RlOHFrz9Abd9E7waLiB11hQ2GkP--cZZHOm8WaCZ_3PT66gvbsUYbzHahXxMMu4Owdd
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health.,Science and Medicine," python ,  java , sql , c++ , mongodb","genomics , standards , data sharing ,  bioinformatics , web",2,https://genomicsandhealth.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6101170829393920/,lh3.googleusercontent.com/Q94W8_stz_AL0J_sb2f0Pr4yGUeMZogmED85nC-J3xpGdlEAcptpidaqwcVCINw4yDD7HDHV64hcFEW6xdAZIB6L1aeP34B9
GNOME,Non-profit organization that creates a computing platform for the general public,End User Applications,"c , python , gtk+ ,  javascript , gobject","desktop , applications , operating system",19,https://www.gnome.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6040004186865664/,lh3.googleusercontent.com/OMtQnvdrqwkdLP5cqWve3m9I13AmKWVN-EyDx2Q770XOTFo0LzBi6TonbPKcJjTKCBHM7YBZTHMMbD4rpAvILbicVJNKrx3B
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,Science and Medicine,"c/c++ , c++ , c++11 , c++14 , gnss","gnss , geolocation , navigation , software defined radio , communications",5,http://gnss-sdr.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5204929132101632/,lh3.googleusercontent.com/dRn6fmVZDXmoQBqUG-mzoqDKKTwaxs-1oQ_idBC1QC0i9IbTIeeIqCMKnfTE7jYhJVBp3rXV9XjfD3phDDC0yBlRpoqCIOw
GNU Octave,Free Your Numbers,Programming Languages and Development Tools,"c++ , hg","mathematics ,  numerical computation , matlab , scientific computing , numerical methods",4,http://www.octave.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6187477526118400/,lh3.googleusercontent.com/jD_PThkeOUIfTvuncvZah_KWYtFHNjxlPg-bzRCZVeQoI2r8-K-HK7-hBRr6MMWb1VSy8Ml2xmd5yycSLbiWTf9a3OoxWVDQ
GNU Radio,The Free & Open Software Radio Ecosystem,Science and Medicine,"software defined radio , c++ , python , dsp","wireless communication , signal processing , radar , gui",2,https://gnuradio.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5467278887878656/,lh3.googleusercontent.com/YXi7zAxPBJuez7WFgMrro7Pw1ulUqJnRwSNyxHVH0vTOPxjapKqwIWb6DgpntPQRUcA1ns9LQMtF9CjWl70F4HKFmXLbtDk
Green Navigation,Energy efficient routing for electric vehicles,Other,"javascript , java , react , apache spark , tensorflow","routing , eletric mobility , web , machine learning",5,http://greennav.io,https://summerofcode.withgoogle.com/archive/2017/organizations/6147412729004032/,lh3.googleusercontent.com/DcEeK4T4tzqj9U6hsm4k-Bsd9H5mrDPo7VOZ4zAXRVQN0I6LwXfkyMEMbADgjTcmW57pEk3rkVzHjDcWlJuMu6RBRS8fSp4
Haiku,Light open-source operating system that specifically targets personal computing.,Operating Systems,"c++ , posix"," desktop integration , operating system , kernel , user interface , frameworks",5,http://www.haiku-os.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5096040436858880/,lh3.googleusercontent.com/isqv6xucX1TkGooFI6nzguKu4BrefroDjvJ96DNvoXVDGLvzZ_nG18S-dPnXM0fiVsrgZ6eVRPqbx3KYpRTJ0iGrTJIQZW0
Homebrew,Homebrew is a package manager for macOS written in Ruby.,Programming Languages and Development Tools,"ruby , git , github , bash , macos","package management , distribution , development tools",2,https://brew.sh,https://summerofcode.withgoogle.com/archive/2017/organizations/6752289616297984/,lh3.googleusercontent.com/fdjEXuxA_YGqav8N95dPA3fXWxtHdPXcAeah9cd90svBM-sd-HCeTEQvHutgVHC38iBOy1X4Q_B0yDY5coDppDV4ZphqSw
illumos.org,Open Source successor of OpenSolaris,Operating Systems,"dtrace , illumos , unix , openzfs , zfs","drivers , virtualization , storage , networking , kernel",0,http://illumos.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6221940343701504/,lh3.googleusercontent.com/2LrctGY6XCtdGS2LOqG1NiguqpMf52KyJWQHkEIBc1we3NM2GYoQUyEZZDFKH-6iN5bX0zBlVOb9WPTHm-OYE7VsilFdlQ
INCF,Advancing global collaborative brain research,Science and Medicine,"c++ , python , java , xml , gpu","neuroscience , big data , brain modeling , science , bio/neuro image processing",13,http://www.incf.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6593178794721280/,lh3.googleusercontent.com/Xg-54TuksAqZLv8Bj14C4rLp_cTk5BOq2Vh2rssQurF5LDckcr1v2qIPsmvbFsivA3FpovkKUxuupgULiDx7bKGYT1a_PV9c
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.",Graphics / Video / Audio / Virtual Reality,"svg , css , c++ , c++11 , python"," graphics , web , standards , geometry",2,https://www.inkscape.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5404830063394816/,lh3.googleusercontent.com/2UsZTSNezPwbTM0lHxn8NkJOblIhO8rBFSliJ3KZTHhoGGZWjJbQswQa-3v3sKO7hmmd1ez7Zi-ArdKGyUIVoogHWcASvZY
Institute for Artificial Intelligence,Research in Artificial Intelligence and Perception for Autonomous Mobile Robots,Science and Medicine,"lisp , prolog , c++ , python , ros","artificial intelligence , robotics , knowledge representation , machine learning , robot perception",5,http://ai.uni-bremen.de,https://summerofcode.withgoogle.com/archive/2017/organizations/6330829038944256/,lh3.googleusercontent.com/qtx5-tMFMwR-K8ZcWPc_PwolM0iMGigMqsNhi2illW9xr2_zLW_XxKvcdP2kpCgyY23PTR7PPRzVnbuAZSK7idV9BhEqH-A
Intel Media and Audio for Linux,"Open Source Media libraries, Applications and User space driver.",Graphics / Video / Audio / Virtual Reality,"video , decode , encode , vpp , multimedia","accelerated media , video , compress , encoding , camera",2,https://01.org/linuxmedia,https://summerofcode.withgoogle.com/archive/2017/organizations/6149200777576448/,lh3.googleusercontent.com/OMF275W3zfipnsTRtCFdCLhSuP6RAiG3V0j5KalwPILuq_f6eMytVv12qzziKRtfTOsZEaA9zZhAARj2WJL791sz94I-Kqo
Internet Archive,Universal Access to All Knowledge,Web,"python , javascript","web archiving , non-profit",2,http://www.archive.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5373878247358464/,lh3.googleusercontent.com/Axq28XyWp2VGzFd2_-4JpuRAY9CHEHtCjAuxyf0aIeaI-i9a1CAcSu4HJgN6KMepJHgILkNnXMR2mxqH-jrkLAqI_2erEXc
JBoss Community,Community of Java projects around JBoss Middleware,Programming Languages and Development Tools,"java , android , asciidoctor , mobil , kubernetes","testing , monitoring , enterprise application , eclipse , openshift",3,http://www.jboss.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5307802188775424/,lh3.googleusercontent.com/-81MMBEVzxJsxox_MuBvHaAE8AauXTszSdLmVkvYHIMaOylF_huC10E9kT3ie_bpAUpSc6sXLKB7TRIk3ytM2B0dELgoTw
JdeRobot - Universidad Rey Juan Carlos,A software framework for developing applications in robotics and computer vision,Other,"python , c/c++ , ros , gazebo","robotics , computer vision , robot simulator , teaching",4,http://jderobot.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4923454155390976/,lh3.googleusercontent.com/It2jUXMuuJAK8B33mXnlSAHucbS2MiofAjpJcM6gR2O1T39STMj4jFLcdntiN0iVCGAdg2c5BRLXUfpi0AMsgNXHb7CqGA
Jitsi,Advanced Real-Time Communication,Social / Communications,"webrtc , java , javascript , sip , xmpp","multimedia , real time",3,https://jitsi.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5461033468559360/,lh3.googleusercontent.com/uN0ENmueoPOaWucCFlQWtV4Bfu_h4QcUKlZlZti7_1R11jqVsAA1i7TkUgNLGMyDqmeHVPnR-oAOG9RTHEhyFQ6R-8Fbuw
Joomla,A free and Open Source CMS Trusted By Millions for their Websites,Web,"php , html , html/css ,  javascript , jquery","web , web application ,  cms ,  object-oriented",8,https://www.joomla.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5861923971137536/,lh3.googleusercontent.com/jfMs2ig-jarY7VRjmnSWurkVzHv47lzmU1fcPbUIpOBX-CvusEZClPRr6rmOw5h8rBBLTTliDzwNCQ3YcUNvoZNmvUz_PpHc
JSK Robotics Laboratory,Humanoid Robotics Laboratory at the University of Tokyo,Science and Medicine,"ros , lisp , prolog , openhrp , openrtm","robotics , artificial intelligence",2,http://www.jsk.t.u-tokyo.ac.jp/,https://summerofcode.withgoogle.com/archive/2017/organizations/6380010977886208/,lh3.googleusercontent.com/Vmr-3Oo3JdWvqg7svK3mgjGtW_XLMj54UxRyuG1VPIyL3RX16e1G0P-wcVgbp2pA30UkErMpwgiXmuEMkUUBm35y8m3TiZg
K-9 Mail,K-9 Mail – Advanced Email for Android,End User Applications,"android , java","email , communication",2,https://github.com/k9mail/k-9,https://summerofcode.withgoogle.com/archive/2017/organizations/6184001823834112/,lh3.googleusercontent.com/krjdwXw2oDdYr4CiiHmacAQfX7YwdVbKxXofGWXcb5BljoNWIV0Z2OJz3HvKkPMktuU3EY3dWbhQ7ulqQiDGPyVj_WjJQ-HH
KDE,Experience Freedom!,End User Applications,"c++ , qt , qt5","desktop , desktop application , education , science , communication",24,http://kde.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5586250824155136/,lh3.googleusercontent.com/fscINvK_QM-401ia5RZdxBGb5V5GERuoyocQzY7HCgdVXJ0V_AVUJp-6S3ntgzm1ExgjsmXg5anlMf3rTQe6AnTqxRie4w
LabLua,Programming Languages Research with emphasis on  the Lua language,Programming Languages and Development Tools,"lua , céu","scripting languages , reactive programming",6,http://www.lua.inf.puc-rio.br/,https://summerofcode.withgoogle.com/archive/2017/organizations/5842237585883136/,lh3.googleusercontent.com/a3rJ_JCm2lQI2BBpQxJRPkP5ou1rH-miSg54Yn-UbiVy7AHyxq2SuMXPxKjMj7jwD0WLOYX2HdPG_vZ4hWGP5x560b5U8w
LibreHealth,Healthcare for Humanity,Science and Medicine,"java , php , javascript , mysql",web,4,http://librehealth.io,https://summerofcode.withgoogle.com/archive/2017/organizations/5574687430017024/,lh3.googleusercontent.com/i74AjO1uZu3bqvBZ7LjQVdLAP53yy5lR30-LzKbiKR0tVWhFa56WMcdmostRUrVDX_hAVYagOvLM53CIMAB04k7wHwCqXA
LibreOffice,"Free Office Suite, Fun Project, Fantastic People",End User Applications,"c++ , python , java","office suite , desktop application",9,http://www.libreoffice.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5507893709242368/,lh3.googleusercontent.com/vUCqKQjTyhUpnivDWEAbxfOVLFuBXwwtWxc8IET4JY_-dGA6rbFqa7K6x6lZeIATMM0tIOrlPeaw1IoReFh6afmI9zZby_s
