OrganizationName,Description,Category,Technologies,Topics,CompletedProjects,OrganizationWebsite,OrganizationURL,Logo
The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,Operating Systems,"c , c++ , cups , mysql , gtk","kernel , printing , lsb , wireless , wireguard",11,http://www.linuxfoundation.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5902526847123456/,lh3.googleusercontent.com/iMdi7DLry09inhV9HjzqgvhPYcZpRb6B6W7C0WgUtO9BVGHqG7B7ONs20DDF1jWCIuOAICYB2RlC8-UvokiKlASbiWdgVQ
The MacPorts Project,Open Source package manager for Mac OS.,End User Applications,"tcl , make , git","package manager , mac os x , macos",2,https://www.macports.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5223416953044992/,lh3.googleusercontent.com/NKbhP7-Viu3qEN3Icc9aRrQU5VbhsL8gUOw0IEle-6p1BcTbsD-9M_E59RYrCTJw2ATcG8MFUYMcrFyv7p8rLfkKoWYfHw
The NetBSD Foundation,Of course it runs NetBSD!,Operating Systems,"virtualization , filesystems , network stack , arm , mips","general purpose os , real unix , package management , free and open source software",3,https://www.NetBSD.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5856162406727680/,lh3.googleusercontent.com/OumI8nQh34M_zWCXk6Xn3a23r8DHAwUQ4GLSB3POYiDpu2qENGEA5CJzmvWJfKwfcDn8NMqD7r91wCCH03519AI1weM0Olk
The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,Other,"c++ , python","networking , computer networking , simulation , research and development",5,https://www.nsnam.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5226418732531712/,lh3.googleusercontent.com/p6k-6XOmBgul_JbDQSlzB636AcBQkeXGkJ9m7eyEYPi6nw6uA1ti_bFlVEnqkuVGOSOyzrzpZ9GQf-K2O8x0NA2i8f9uDuU
The Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,Programming Languages and Development Tools,"java ,  javascript ,  python ,  android ,  opengl","creative coding ,  graphics ,  web ,  education ,  design",14,http://processingfoundation.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5256745899261952/,lh3.googleusercontent.com/Ep13dfXMYTVwmXjuE0rZeJ6PqsLluisZOUtClGXByqXf2PDYWu8E9JK718NrEZLIbyJVIFvSXNgc40sYO-eqXS3Rg9TpTdY
The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.",Other,"c ,  opengl ,  directx ,  x11 ,  win32","compatibility ,  desktop integration",0,http://www.winehq.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5417956825628672/,lh3.googleusercontent.com/ykorz0_dV9cM3CgiEDK3Krr7CYhGuncQWw49ijPQZ1pTrCYwCRAyh93N5q4iwOOlpvHAGUj4vOm4LBgnowrTdk3tbGcqRgQ
Tiled,"A free, easy to use and flexible 2D level editor.",End User Applications,"qt , c++ , git , github","edit , editing , level , game , game development",3,http://www.mapeditor.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6470814639587328/,lh3.googleusercontent.com/N82LnqT49LVmJ28wMr-Rkos0G1sWptTlzlDufgbUAaAe7gg7_p2tbsEQSDOKJl--rLX9X1GI7nbQdzTOKEGKsaqwAJkf7zp5
TimVideos,"Software & hardware to recording + streaming conferences, meetings & usergroups.",Graphics / Video / Audio / Virtual Reality,"python , verilog , fpga , vhdl , c","hardware , embedded , video , fpga",2,https://code.timvideos.us,https://summerofcode.withgoogle.com/archive/2017/organizations/6543856732471296/,lh3.googleusercontent.com/CFfiFkBCFCpy3Ca0VINsgQOJPLAa1GRAl3mX9JETHRyGKJ8SPmaN-j68TB_b85JtLIDEiLuke15X8pPfxT2J0JQkUGfBPw
Tor,Internet privacy and anonymity,Security,"c ,  python , javascript , c++","privacy ,  anonymity ,  counter-censorship , free-speech",4,https://www.torproject.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5273949793419264/,lh3.googleusercontent.com/ZcWy5qLWZqlLaho3GTMOH7FedbhtrOqcTld6n1pJmOGJKJwbe981Sxv6_phqyUDH7MhDC99a9alMfb4KgFxCCEd9QH4cALwq
UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,Science and Medicine,"javascript , react , clojure , d3 , python","genomics , data visualization , cancer ,  bioinformatics , web application",1,http://xena.ucsc.edu,https://summerofcode.withgoogle.com/archive/2017/organizations/4944943755821056/,lh3.googleusercontent.com/e7Ri2a2tncmttWUA1YSmMvOa1ONgq02-f3OO7a4Bctz1259dduHPCsnZGGLVUD1whMEDPLG_yR1uJITp51CJppxQyZAGZUU
"Urban Energy Systems Laboratory, Empa",HUES is a platform for modeling & analysis of distributed energy systems,Science and Medicine,"python , gis , fast fluid dynamics","distributed energy systems , modeling & optimization , data portal",3,https://hues-platform.github.io/,https://summerofcode.withgoogle.com/archive/2017/organizations/4513544758362112/,lh3.googleusercontent.com/2ZeU3O2oOvAkneIhXFjY_bIuvV0vRzmyAgzKDM7UP5a2LP6TwohTU5MpYR43-zd7pfpjhBVYzIRlap8fkpY8RJwhJwABEGvD
VideoLAN,"A team of volunteers, believing in the power of open source multimedia.",Graphics / Video / Audio / Virtual Reality,"c++ , c , opengl , qt , assembly","video , audio , multimedia",9,https://www.videolan.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4898083515138048/,lh3.googleusercontent.com/qLSJFgSiCVKxEWT0bou38OWPKQIkhCs3chuGRiabN-zMkY3lzOZGo4JQ6rDhXwutHPRgh6SxA06X3xrkpii2gyZAqx6hT88
ViSP,Visual tracking and visual servoing library,Graphics / Video / Audio / Virtual Reality,"vision ,  c++","robotics , vision",1,https://visp.inria.fr/,https://summerofcode.withgoogle.com/archive/2017/organizations/4892929554382848/,lh3.googleusercontent.com/XrpZP_r_9tqAairFbr4e_svLCX6D6rbxDM1PNmsODLridMl6l50Rgxzw6AP_a-VEWmxbGbyXCVsOQLg8UYF2eKbfAJLw3QY
Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,Web,"php  , javascript  ,  html  ,  css  ,  jquery"," web ,  wiki , encyclopedia",7,http://wikimediafoundation.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6468952502829056/,lh3.googleusercontent.com/x0Pj8ORuPpana8r5jbptb2yIO40wg6ouIUtkqpOutRIULqLOgGqla1-JLHidt4U02NXkGWzTTUp2DS0jcHAW6gpYw23_uA
WorldBrain - Verifying the Internet with Science,"Full-text search your history, bookmarks and all your apps.",Social / Communications,"reactjs ,  javascript","fake-news , misinformation , search , digital knowledge",1,http://worldbrain.io,https://summerofcode.withgoogle.com/archive/2017/organizations/6393325913374720/,lh3.googleusercontent.com/6xf1OSTMNXR9eGkMle49rCCSn9asH7e_YR0ZaPvZb_dpFuQuDXXyioLV6YBT78vBd1u2c7LuNmsZmqqrmeRd_KU95RemzdzE
WSO2,Comprehensive and open source middleware platform that spans the breadth of SOA,Other,"soa , middleware , java , distributed computing , web services","cloud , iot , security , micro services , api management",9,http://wso2.com/,https://summerofcode.withgoogle.com/archive/2017/organizations/6070843662663680/,lh3.googleusercontent.com/1E8AX1katjzwQ4Lu7AQVzd-V2E0y-RWFm4ZR7_eS7yct9wEagNcya2aGsZMH4TOaD0RF75iKM3uom-4enwPlyCMQ_tOXgg
wxWidgets,Library for creating portable native GUIs in C++,Programming Languages and Development Tools,"c++ , gtk+ , win32 , cocoa","cross-platform , desktop , gui",2,http://www.wxwidgets.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5262324659126272/,lh3.googleusercontent.com/eOVcxwPPFY88vbPAbL0VdS3UXorKsdc3Ow4SIUsUecOXlnaNEOgMxlvJeKw6AG3zMw9IZdSp5_Xz93Rr5f8-EsrW2hAwrrg
X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)",Graphics / Video / Audio / Virtual Reality,"opengl , vulkan , x11 , wayland , opencl","graphics stack , operating system , graphics , 3d , video",4,http://www.x.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6339354280591360/,lh3.googleusercontent.com/2UvufG7SrBIU6iHAqqawF2JU4I4bGpPdB3UvyI9jJyD4Q8qMUJwnjRlPKcEyV2JeGXWmqShG5XipMNM9UuUuENflR4vV7slF
Xapian Search Engine Library,"Fast, scalable and flexible search",Data and Databases,"c++ , unicode , swig , linux , golang","search , information retrieval , machine learning , linguistics , indexing",3,https://xapian.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6189339662876672/,lh3.googleusercontent.com/nUKe3F1aZ12vp_VXwCKDRoFRT4VESQyh-Jo7luPj1ULSn_WCU8QvhoUEa-8B_l-gShRwsEPvAHNY47bF2mm2cAG88qjZZNg
XBMC Foundation,Kodi Media Center,Graphics / Video / Audio / Virtual Reality,"python , c++11 , xml , git , drupal","media center , video player , audio , media management",3,http://kodi.tv,https://summerofcode.withgoogle.com/archive/2017/organizations/5704018827411456/,lh3.googleusercontent.com/7kBt6Z9y28DiJ2H0O5F6alI5uzgmIJqd8-Ep493qS9GuDWZyWpBY0MdL86dyy3qXN9WsWO01ofuHZiwX4SzQYwx4_Y18X7os
Xen Project,Bringing the power of virtualization everywhere,Cloud,"linux , free/netbsd , asm/c/c++ , qemu , ocaml","virtualization , security , cloud computing , unikernels , embedded/automotive",2,http://xenproject.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5748328394391552/,lh3.googleusercontent.com/8-1iv11qUH3NQh51RUUucz5KaFc-xnirXU3Bsd_oQfGzen68L0H4YvyGdbDuwZqLRhiBRKjAJ_XTkzdJiMMvJTKKb94AmQ
XMPP Standards Foundation,Secure messaging with open standards,Social / Communications,"xmpp , c++ , java , erlang , javascript","chat , messaging , instant messaging , social , communications",2,https://xmpp.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6062681614188544/,lh3.googleusercontent.com/gd-sdsaL3PtSKtI2lX4wgyvA-_jJGUYlqLInZL5AOlfpWB9G7lxRF_XQTwJNhchca4hwAv3RpIituJ2lLw0TbJHveYcIK4s
XWiki,The Advanced Open Source Enterprise Wiki,Web,"java ,  javascript ,  html5 ,  css3 ,  velocity","web development ,  web platform and services ,  wiki",2,http://www.xwiki.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6636322546515968/,lh3.googleusercontent.com/S58ALZNJHSaVWIyZCoYgZu1vHsyRfXWKdSR4juj8o18xWLcvLeGI-gGXcTG5PPxG_k5awu166FDB4yVAvkfWdYCWmxTjH-Y
Zenodo,A free and open digital archive for the long-tail of science.,Science and Medicine,"python , postgresql , flask , angularjs , elasticsearch","content management , web , open science , digital library , machine learning",2,https://zenodo.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4744852235354112/,lh3.googleusercontent.com/t18I4Tabm3yIeT595HG9pbjrqUelCzLjUoWehqSCdBmLS9uk7vgPCJRQoBJRFArkA_pbyj-LZisqDm-IjCbLfKgT0Ek2UA
Zulip,"Powerful, modern, open source group chat, complete with apps for every platform.",Social / Communications,"python , django , javascript , react native , electron","enterprise , web development , group chat , cross-platform , mobile applications",10,https://zulip.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4533090483437568/,lh3.googleusercontent.com/fOxr2i7xgNsXlEtEnnbCZCQQSVImnqXVKbf_-oo5Hm_Lq38KwmDryVdCmvd1lOnlQLtRsiess_b4WHce6FnsuvtF3F7kc1E
